Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White,Black_Self_Dying_Count,White_Self_Dying_Count,Black_Kill_Count,White_Kill_Count,Black_Hit_Count,White_Hit_Count,White_Correct_Aim_Count,Black_Correct_Aim_Count
109,6,black,Black,1.9586866,-3.2893984,0.19415943,0.06667664,0.5877686,0.025205905,0.0,0.0,0,3,0,0,0,0,1,0
110,6,black,Black,1.9483973,-3.4155035,0.2368602,0.054757427,-0.37347022,0.002957561,0.0,0.0,0,3,0,0,0,0,1,0
111,6,black,Black,0.8554857,-2.9232163,-0.6335413,0.3461556,-0.02772665,0.054057408,0.0,0.0,1,3,0,0,0,0,2,0
112,6,black,Black,0.931907,-2.9455912,0.21208914,0.28894252,0.39343524,0.028297616,0.0,0.0,1,3,0,0,0,0,1,0
113,6,black,Black,2.039207,-3.3432808,-0.1577537,0.04983552,-0.5649304,0.0015508095,0.0,0.0,0,3,0,0,0,0,2,0
114,6,black,Black,1.0648197,-2.8705645,0.09672292,0.23150255,0.6832393,0.07726213,0.0,0.0,1,3,0,0,0,0,3,0
115,6,black,Black,2.0828738,-3.414566,0.10619775,0.05482295,0.18918832,0.014058679,0.0,0.0,0,3,0,0,0,0,3,0
116,6,black,Black,2.0012493,-3.3639317,0.75811607,0.028991044,0.20277922,0.007897572,0.0,0.0,0,3,0,0,0,0,1,0
117,6,black,Black,0.9235457,-2.8775735,0.42043987,0.37312293,0.357934,0.036996663,0.0,0.0,1,3,0,0,0,0,2,0
118,6,black,Black,0.87899053,-2.7683039,0.23056507,0.4113841,1.1280128,0.13798258,0.0,0.0,1,3,0,0,0,0,1,0
119,6,black,Black,0.99864393,-2.836047,-1.3009516,0.311742,0.6283683,0.092329316,0.0,0.0,1,3,0,0,0,0,1,0
120,6,black,Black,2.064097,-3.2647412,0.5700221,0.03580718,-0.6178322,0.0062353895,0.0,0.0,0,3,0,0,0,0,3,0
121,6,black,Black,1.0502393,-2.8688984,-0.3065261,0.17315938,1.421833,0.030064663,0.0,0.0,1,3,0,0,0,0,2,0
122,6,black,Black,0.89964795,-2.8609877,-0.7844365,0.38114038,0.61586666,0.035087023,0.0,0.0,1,3,0,0,0,0,2,0
123,6,black,Black,1.949352,-3.4398932,-0.2435921,0.016513007,-0.67758816,0.021107959,0.0,0.0,0,3,0,0,0,0,2,0
124,6,black,Black,2.1814141,-3.3847427,0.16606887,0.07183216,-0.8842611,0.013158272,0.0,0.0,0,3,0,0,1,0,3,0
125,6,black,Black,2.0579374,-3.3910365,-0.20857517,0.044496536,1.1544017,0.042291075,0.0,0.0,0,3,0,0,0,0,2,0
126,6,black,Black,1.038311,-2.8720326,0.46333465,0.26281723,0.90553206,0.019201798,0.0,0.0,1,3,0,0,0,0,2,0
127,6,black,Black,2.0076566,-3.3560655,-0.30463687,0.03477639,-0.50982404,0.03799298,0.0,0.0,0,3,0,0,0,0,2,0
128,6,black,Black,2.029427,-3.4234784,-0.5720024,0.034254845,0.547404,0.039454237,0.0,0.0,0,3,0,0,0,0,2,0
129,6,black,Black,1.9836849,-3.2936866,0.16515811,0.021903535,-0.5571048,0.0050974367,0.0,0.0,0,3,0,0,0,0,2,0
130,6,black,Black,2.181961,-3.3775125,-0.1363244,0.07366439,-0.53574044,0.014556841,0.0,0.0,0,3,0,0,1,0,3,0
131,6,black,Black,1.9348804,-3.3337462,0.1928289,0.009818055,-0.18981369,0.008756648,0.0,0.0,0,3,0,0,0,0,2,0
132,6,black,Black,2.070554,-3.3985345,-1.0145963,0.029859802,-0.45424232,0.011968649,0.0,0.0,0,3,0,0,0,0,3,0
133,6,black,Black,0.9469222,-2.8913012,-0.009979804,0.37953863,0.99961203,0.039891858,0.0,0.0,1,3,0,0,0,0,2,0
134,6,black,Black,1.9737847,-3.3252416,0.4129831,0.008312185,-1.296762,0.007783608,0.0,0.0,0,3,0,0,0,0,2,0
135,6,black,Black,2.0745764,-3.088285,-0.14204597,0.019640299,0.22022867,0.022900417,0.0,0.0,0,3,0,0,0,0,3,0
136,6,black,Black,0.9445927,-3.012412,0.5080815,0.39215925,0.19228141,0.010394969,0.0,0.0,1,3,0,0,0,0,1,0
137,6,black,Black,0.96210515,-3.0180461,-0.4975009,0.4160103,-0.28142372,0.021545222,0.0,0.0,1,3,0,0,0,0,1,0
138,6,black,Black,0.9659132,-2.9773116,0.69092673,0.4060503,-0.21746914,0.02025688,0.0,0.0,1,3,0,0,0,0,2,0
139,6,black,Black,1.9594843,-3.3308904,-0.0010991096,0.0071842014,-0.36567745,0.0026199587,0.0,0.0,0,3,0,0,0,0,1,0
140,6,black,Black,1.9251561,-3.3490257,0.3855752,0.0025065918,-0.5862239,0.01204288,0.0,0.0,0,3,0,0,0,0,2,0
141,6,black,Black,1.0146773,-2.8765373,0.2869741,0.37960908,-0.48841235,0.059271246,0.0,0.0,1,3,0,0,1,0,2,0
142,6,black,Black,2.0414402,-3.4088225,0.59401435,0.021412306,-0.7410639,0.029081427,0.0,0.0,0,3,0,0,0,0,2,0
143,6,black,Black,0.9550751,-2.9574485,-0.47295976,0.3725644,0.7750074,0.020284388,0.0,0.0,1,3,0,0,0,0,2,0
144,6,black,Black,1.9829912,-3.3719888,0.07680106,0.014241885,-0.25635275,0.010668148,0.0,0.0,0,3,0,0,0,0,2,0
145,6,black,Black,2.0124116,-3.3979974,-0.6815985,0.018832734,-0.5568854,0.014611046,0.0,0.0,0,3,0,0,0,0,2,0
146,4,black,Black,2.389486,-2.763228,0.060577393,0.17971936,0.48157215,0.041914612,0.0,0.0,0,2,1,0,0,0,2,0
147,6,black,Black,2.0031648,-3.3818564,0.029419502,0.020415736,-0.5840185,0.010316794,0.0,0.0,0,3,0,0,0,0,1,0
148,6,black,Black,1.9137068,-3.420379,-0.32747674,0.006226977,-0.0852832,0.023311706,0.0,0.0,0,3,0,0,0,0,1,0
149,6,black,Black,1.0620217,-2.9202547,0.53786033,0.2720509,0.107961334,0.02312473,0.0,0.0,1,3,0,0,0,0,3,0
150,6,black,Black,1.9949769,-3.3608572,-0.83585244,0.015744846,-0.13443358,0.00827171,0.0,0.0,0,3,0,0,0,0,2,0
151,6,black,Black,0.8037021,-2.80639,-0.25208712,0.5301836,0.42137846,0.05220242,0.0,0.0,1,3,0,0,1,0,2,0
152,6,black,Black,1.986814,-3.3546243,0.15432549,0.015388094,-1.0005232,0.014742208,0.0,0.0,0,3,0,0,0,0,2,0
153,6,black,Black,0.8597951,-2.9255083,-1.0885394,0.40162078,0.61373264,0.029807078,0.0,0.0,1,3,0,0,0,0,1,0
154,6,black,Black,2.0100985,-3.4090734,0.2621096,0.022175992,-1.0463567,0.021920731,0.0,0.0,0,3,0,0,0,0,2,0
155,6,black,Black,2.0703697,-2.8985078,0.57922965,0.03594883,-1.045036,0.05819614,0.0,0.0,0,3,0,0,0,1,3,0
156,6,black,Black,2.011678,-3.4686966,-0.32128707,0.034904506,0.011369228,0.041365575,0.0,0.0,0,3,0,0,0,0,2,0
157,6,black,Black,1.9947902,-3.373307,-0.08252438,0.017916529,0.06654922,0.014573228,0.0,0.0,0,3,0,0,0,0,2,0
158,6,black,Black,1.055702,-2.7552848,1.6953198,0.28443772,-0.5762288,0.062640004,0.0,0.0,1,3,0,0,0,0,3,0
159,6,black,Black,2.0718715,-3.4313202,-0.28414336,0.03362192,-0.9485139,0.028374009,0.0,0.0,0,3,0,0,0,0,3,0
160,6,black,Black,-0.108180285,-2.4806178,-0.77414393,1.0694617,0.3200531,0.08997054,0.0,0.0,2,3,0,0,0,0,1,0
161,6,black,Black,0.93875825,-2.7923162,0.34884346,0.37228093,0.77134436,0.03491834,0.0,0.0,1,3,0,0,0,0,2,0
162,6,black,Black,2.0531077,-3.3804421,0.28855804,0.031557634,-0.17246072,0.029750623,0.0,0.0,0,3,0,0,0,0,2,0
163,6,black,Black,0.9596832,-2.9124942,0.30674124,0.31792435,-0.05055396,0.041056853,0.0,0.0,1,3,0,0,0,0,1,0
164,6,black,Black,0.9461826,-2.8241692,0.049780685,0.32388628,0.16234958,0.056865353,0.0,0.0,1,3,0,0,0,0,1,0
165,6,black,Black,2.0775657,-3.389316,0.01970148,0.05257267,-0.40693393,0.042736128,0.0,0.0,0,3,0,0,0,0,3,0
166,6,black,Black,1.0044844,-2.9602675,-0.39017248,0.19456106,0.3475261,0.016090557,0.0,0.0,1,3,0,0,0,0,2,0
167,6,black,Black,0.90633094,-2.8780394,-1.4275535,0.31959358,0.19201024,0.02666974,0.0,0.0,1,3,0,0,0,0,2,0
168,4,black,Black,2.3877182,-2.7540421,0.0075649023,0.22778274,0.51839805,0.020150108,0.0,0.0,0,2,1,0,0,0,2,0
169,6,black,Black,0.9355024,-2.7190561,1.1387683,0.27719757,0.695093,0.019433467,0.0,0.0,1,3,0,0,0,0,2,0
170,6,black,Black,2.0594487,-3.3427365,1.2078356,0.069871716,-1.3555065,0.024341365,0.0,0.0,0,3,0,0,0,0,2,0
171,6,black,Black,2.017047,-3.3496227,-0.74418545,0.055853833,-0.83021754,0.053206842,0.0,0.0,0,3,0,0,0,0,2,0
172,6,black,Black,2.0570662,-3.3509007,-0.063082695,0.070061244,0.8225542,0.032313827,0.0,0.0,0,3,0,0,0,0,2,0
173,6,black,Black,1.9788678,-3.3909683,0.55126673,0.047895443,-0.3605187,0.04749732,0.0,0.0,0,3,0,0,0,0,1,0
174,6,black,Black,1.0301423,-2.8482876,0.14793737,0.2020036,0.019937197,0.011388362,0.0,0.0,1,3,0,0,0,0,2,0
175,6,black,Black,1.0649649,-2.8447251,1.0749536,0.18508346,-0.2059079,0.01081141,0.0,0.0,1,3,0,0,0,0,3,0
176,6,black,Black,1.118366,-2.8727584,-0.11541613,0.1692488,0.320433,0.0142640555,0.0,0.0,1,3,0,0,1,0,2,0
177,6,black,Black,0.9163147,-2.7537146,-0.15723018,0.2584546,-0.73674077,0.024967916,0.0,0.0,1,3,0,0,0,0,2,0
178,6,black,Black,2.0431013,-3.3811054,0.32046548,0.081132635,0.7056687,0.037814174,0.0,0.0,0,3,0,0,0,0,2,0
179,6,black,Black,1.0185084,-2.8752768,0.1744947,0.18135841,-0.037857533,0.0130682895,0.0,0.0,1,3,0,0,0,0,2,0
180,6,black,Black,1.9307109,-3.398167,-0.1422662,0.049331415,-0.45726553,0.05874983,0.0,0.0,0,3,0,0,0,0,2,0
181,6,black,Black,1.9651618,-3.3303552,-0.3862964,0.057808626,0.031000694,0.026386803,0.0,0.0,0,3,0,0,0,0,2,0
